11#86.610541,41.162173,4.043757,1.579433;22.188073,33.838080,3.485049,-0.219537;48.553455,63.781015,0.746030,0.466622;90.105223,64.827393,-2.952910,9.500086;2.910502,25.792986,2.831508,0.917057;40.987503,15.607200,1.897096,3.188206;52.346933,82.632945,0.494069,-4.840552;54.454546,49.648975,1.646398,-0.385442;52.647998,80.051347,-1.667767,5.334781;37.974970,80.344649,3.710740,-1.379723;55.209435,5.354839,10.141673,-4.176081;36.045048,8.746321,2.874313,4.286955;26.187841,98.324714,2.771530,0.116470;55.533836,39.047326,1.218608,2.088076;51.634032,12.561352,-9.586569,12.582170;74.298203,30.093561,3.093060,2.000971;68.995521,19.076545,-1.139327,3.144745;35.695741,23.614043,3.644758,0.539726;93.322792,62.427946,-24.137052,8.596417;91.838444,41.552019,-4.711247,1.897003;50.325225,23.154772,1.848673,0.647055;96.926275,59.431017,35.744031,-28.740138;78.518786,31.984996,-2.094440,2.264312;29.240368,55.792741,2.659654,-0.258602;11.936128,14.808349,2.376950,2.899040
12#87.046978,41.321841,4.684977,1.613938;22.554487,33.809013,3.843235,-0.361805;48.628041,63.823320,0.745686,0.379476;89.855854,65.927910,-2.034474,12.510265;3.217077,25.878333,3.299976,0.789882;41.192037,15.938241,2.193576,3.432607;52.391605,82.077630,0.399375,-6.265753;54.616485,49.600352,1.592377,-0.587020;52.454070,80.654079,-2.210788,6.719864;38.363874,80.192691,4.067338,-1.659431;56.340368,5.046621,12.476988,-1.988284;36.357602,9.204816,3.376754,4.882946;26.473597,98.322080,2.943586,-0.169155;55.652855,39.266456,1.161769,2.294536;50.552290,13.764651,-12.048276,11.483829;74.626000,30.303259,3.462882,2.192990;68.862627,19.403422,-1.518546,3.392796;36.078088,23.665839,4.002185,0.496201;89.966871,63.456101,-42.981363,11.966700;91.300137,41.745914,-6.054887,1.980896;50.509385,23.207964,1.834531,0.416785;101.597555,56.041035,57.681580,-39.059503;78.275887,32.223562,-2.763538,2.507009;29.523117,55.761312,2.995327,-0.369965;12.186523,15.110842,2.630947,3.150827
13#87.558379,41.486462,5.543040,1.678481;22.958084,33.765231,4.228694,-0.513822;48.702583,63.856685,0.745152,0.287821;89.698673,67.305946,-1.109148,15.050452;3.572534,25.950349,3.809171,0.650449;41.428236,16.295285,2.530401,3.708289;52.427734,81.326840,0.323197,-8.750035;54.772806,49.530299,1.534034,-0.814035;52.200702,81.479435,-2.856578,9.787242;38.790254,80.011519,4.460272,-1.964020;57.703407,4.960942,14.783788,0.274702;36.722515,9.725802,3.921508,5.536764;26.777363,98.289724,3.131742,-0.477962;55.765846,39.507366,1.098055,2.523649;49.224454,14.859125,-14.508439,10.405646;74.994237,30.534618,3.901860,2.434179;68.690756,19.756650,-1.918892,3.671770;36.498130,23.712561,4.398650,0.438236;84.724750,64.847042,-61.861056,15.852105;90.613724,41.947594,-7.673382,2.052719;50.691798,23.235951,1.813726,0.142962;108.459847,51.618748,79.564250,-49.386235;77.960099,32.484803,-3.552230,2.717807;29.840934,55.718307,3.361012,-0.490141;12.463405,15.439541,2.906684,3.423138
14#88.177658,41.660895,6.842542,1.810168;23.401980,33.705745,4.649232,-0.675912;48.777153,63.880334,0.746248,0.185162;89.629363,68.934864,-0.277053,17.527916;3.981044,26.007811,4.361034,0.498793;41.701020,16.681601,2.925279,4.018025;51.295547,81.105115,-22.966932,4.315526;54.923262,49.435793,1.475088,-1.076086;53.810877,81.312913,35.060072,-13.117674;39.258037,79.798524,4.895388,-2.295877;59.296014,5.104492,17.068346,2.596296;37.144486,10.315935,4.517921,6.265897;27.100685,98.225360,3.334697,-0.809317;55.872250,39.772303,1.030035,2.775099;47.649769,15.847655,-16.985267,9.364956;75.411242,30.793857,4.438232,2.750604;68.477790,20.139049,-2.340428,3.976199;36.959891,23.752866,4.836574,0.367855;77.598847,66.627634,-80.657006,19.759733;89.740601,42.152983,-9.789070,2.055059;50.871276,23.233893,1.775834,-0.184130;117.508501,46.163443,101.408833,-59.719865;77.557669,32.763022,-4.496361,2.846575;30.196962,55.662909,3.759552,-0.617810;12.768980,15.796576,3.204821,3.717576
15#89.005931,41.873623,9.722909,2.444409;23.889139,33.629785,5.093940,-0.843276;48.851961,63.893232,0.749927,0.072800;89.641563,70.810299,0.521068,19.980780;4.446747,26.049483,4.953011,0.334634;42.018857,17.100511,3.431464,4.360171;47.849163,82.189381,-45.960743,17.369789;55.067689,49.313546,1.413462,-1.368862;59.184389,78.851846,72.410166,-36.103663;39.771545,79.551108,5.374778,-2.652445;61.116217,5.482780,19.335716,4.969467;37.628888,10.982387,5.170117,7.063139;27.445053,98.126741,3.552659,-1.163068;55.971632,40.063718,0.957608,3.053206;45.825335,16.734603,-19.503414,8.374000;75.888210,31.091840,5.101132,3.209068;68.221236,20.553125,-2.790650,4.305334;37.467356,23.785262,5.312732,0.280072;68.593449,68.798056,-99.450966,23.648713;88.573400,42.332945,-13.554955,1.544178;51.045194,23.196437,1.702536,-0.564986;128.740358,39.674717,123.228309,-70.054646;77.050279,33.045727,-5.651445,2.807520;30.594484,55.594434,4.190889,-0.751708;13.105349,16.183976,3.522562,4.030412
16#89.728774,42.565740,4.733965,11.397917;24.422326,33.536702,5.569814,-1.018393;48.927183,63.894485,0.754495,-0.047746;89.732516,72.929968,1.297987,22.412605;4.973866,26.074056,5.589382,0.156833;42.401944,17.554844,4.230281,4.726495;42.101209,84.576213,-68.998341,30.366858;55.205870,49.160279,1.350154,-1.696471;68.291189,74.090427,109.725833,-59.124717;40.336108,79.267230,5.916466,-3.025120;63.162329,6.100511,21.586529,7.385158;38.181852,11.733450,5.889168,7.958122;27.812002,97.991546,3.786331,-1.540826;56.063597,40.384510,0.881672,3.362628;43.742649,17.525370,-22.150311,7.441347;76.438994,31.450358,5.914551,3.961277;67.918871,21.001299,-3.256651,4.658133;38.025258,23.807181,5.845311,0.158306;57.707328,71.356576,-118.271452,27.521698;87.420167,42.045186,-9.509710,-7.299368;51.209041,23.118834,1.574406,-0.987068;142.153345,32.152557,145.031425,-80.388562;76.415276,33.305783,-7.048610,2.393599;31.036816,55.512332,4.655741,-0.890330;13.474573,16.603738,3.861913,4.364839
17#89.911387,44.143990,-1.081720,20.167086;25.004626,33.425737,6.076173,-1.200904;49.003445,63.883546,0.770751,-0.171021;89.900174,75.291819,2.055169,24.824415;5.566924,26.080057,6.271783,-0.036820;42.992317,18.045936,7.577174,5.095350;34.047613,88.254162,-92.073574,43.192124;55.337516,48.972456,1.282772,-2.060005;81.127639,67.025391,147.003169,-82.176000;40.957497,78.949573,6.511318,-3.328020;65.432915,6.962101,23.825198,9.846646;38.810538,12.580052,6.684543,8.973933;28.203233,97.817139,4.038277,-1.947321;56.147633,40.738383,0.799049,3.714834;41.343360,18.226651,-25.835467,6.584262;77.070251,31.909912,6.710580,5.229802;67.569070,21.485759,-3.739358,5.031076;38.640064,23.813898,6.450795,-0.023979;44.937739,74.300620,-137.120312,31.359177;86.709197,40.881551,-4.709690,-15.973319;51.357832,22.997753,1.401408,-1.434554;157.746104,23.597095,166.823767,-90.720684;75.640803,33.491102,-8.440859,1.312775;31.527421,55.416029,5.156365,-1.035732;13.878975,17.058102,4.226138,4.722449
18#89.503169,46.591057,-7.082635,28.774250;25.639109,33.295848,6.613499,-1.396881;49.080603,63.860275,0.772422,-0.294407;90.142269,77.893464,2.786735,27.208477;6.230695,26.065861,7.003623,-0.247092;43.832278,18.586275,9.222038,5.711428;23.687688,93.212636,-115.124944,55.977359;55.462247,48.745734,1.211837,-2.474430;97.691757,57.654729,184.279202,-105.237249;41.640445,78.598239,7.147644,-3.698659;67.926867,8.072151,26.053831,12.354346;39.523140,13.537994,7.567495,10.184893;28.620987,97.599775,4.316818,-2.399949;56.222987,41.129683,0.708047,4.111161;38.607105,18.842702,-28.889623,5.736754;77.768159,32.511452,7.247577,6.801008;67.170418,22.008539,-4.233691,5.424525;39.319935,23.796194,7.146629,-0.330091;30.279702,77.630552,-156.040436,35.239454;86.483693,38.857629,0.199603,-24.505118;51.486472,22.831805,1.171395,-1.884409;175.517741,14.008499,188.608956,-101.051230;74.744420,33.549942,-9.486801,-0.135978;32.069734,55.305059,5.689894,-1.183662;14.321071,17.549415,4.615773,5.103804
19#88.492541,49.895747,-13.129933,37.319556;26.328794,33.145499,7.180184,-1.610088;49.157318,63.823646,0.761875,-0.438177;90.456857,80.732560,3.505030,29.573433;6.970239,26.029734,7.787257,-0.475457;44.825894,19.191452,10.650298,6.392110;11.025272,99.449791,-138.123360,68.765734;55.579727,48.474599,1.137764,-2.948264;117.981834,45.976992,221.522338,-128.317493;42.386071,78.208448,7.764876,-4.097144;70.642913,9.435410,28.267092,14.910831;40.324596,14.629306,8.461625,11.641359;29.064272,97.333083,4.548876,-2.933892;56.288812,41.563434,0.608436,4.563861;35.570652,19.380031,-31.839436,5.009823;78.511434,33.273955,7.617931,8.449042;66.721526,22.571127,-4.744149,5.827231;40.069758,23.737649,7.849840,-0.840815;13.731865,81.348104,-174.916309,39.111583;86.747884,35.982921,5.084222,-32.989060;51.589694,22.621132,0.893034,-2.329057;195.467653,3.386906,210.389297,-111.380618;73.753794,33.460514,-10.325701,-1.652568;32.666909,55.179149,6.253614,-1.334544;14.803395,18.080098,5.030705,5.509856
20#86.875707,54.053388,-19.206739,45.833265;27.076742,32.972648,7.778794,-1.846940;49.232443,63.771592,0.740613,-0.602895;90.842653,83.807404,4.210884,31.923447;7.790950,25.969772,8.626961,-0.723771;45.957398,19.868392,11.979784,7.146680;-3.936316,106.964753,-161.108407,81.533514;55.689729,48.152297,1.062285,-3.497779;141.995288,31.991132,258.746745,-151.399709;43.193618,77.777101,8.386064,-4.529806;73.579239,11.056684,30.459431,17.514658;41.213934,15.874832,9.325141,13.269156;29.530580,97.011801,4.777285,-3.491746;56.344190,42.045909,0.499133,5.085648;32.244711,19.848146,-34.679399,4.352493;79.289279,34.202415,7.938973,10.120157;66.221155,23.174653,-5.263265,6.243280;40.887697,23.622868,8.508938,-1.454792;-4.702475,85.452752,-193.770487,42.981392;87.497756,32.260369,9.913216,-41.461975;51.662557,22.366210,0.564239,-2.769387;217.595424,-8.267573,232.166121,-121.708977;72.683839,33.218943,-11.073413,-3.178860;33.321791,55.037702,6.844007,-1.494384;15.328548,18.652695,5.472367,5.942084
21#84.650003,59.061324,-25.307332,54.325453;27.886273,32.774564,8.411826,-2.114740;49.304806,63.702372,0.706646,-0.781509;91.298470,87.116452,4.905457,34.257523;8.698717,25.883796,9.528380,-0.995754;47.218183,20.624501,13.235902,7.975497;-21.196059,115.755845,-184.086461,94.288319;55.792112,47.770101,0.985380,-4.146147;169.730718,15.697100,295.961853,-174.480924;44.063624,77.300616,9.014062,-4.999893;76.733848,12.940674,32.632746,20.165142;42.189848,17.290096,10.193142,15.036124;30.020026,96.633716,5.011631,-4.069963;56.387894,42.584979,0.374941,5.695740;28.637478,20.252703,-37.465255,3.738635;80.098772,35.296966,8.250889,11.770868;65.668924,23.820746,-5.781347,6.678585;41.771915,23.444427,9.175413,-2.114031;-25.021649,89.944389,-212.612988,46.851349;88.727224,27.691148,14.676156,-49.922441;51.699919,22.067734,0.183002,-3.200115;241.900746,-20.954845,253.940313,-132.036466;71.540577,32.824298,-11.791827,-4.714028;34.037051,54.879675,7.461209,-1.666172;15.899474,19.269894,5.946151,6.401893
22#81.813201,64.917843,-31.428722,62.804917;28.760393,32.547908,9.070560,-2.418382;49.373278,63.614276,0.662804,-0.980419;91.823170,90.658135,5.588527,36.576143;9.700179,25.769232,10.500859,-1.295529;48.602305,21.467207,14.446543,8.878641;-40.753389,125.821996,-207.060135,107.034693;55.887036,47.316340,0.913092,-4.929063;201.187419,-2.905005,333.172157,-197.561179;44.996855,76.775033,9.650560,-5.511759;80.104756,15.091944,34.785415,22.860254;43.254036,18.890064,11.090610,16.963232;30.533339,96.196806,5.254634,-4.668234;56.418114,43.191619,0.229456,6.437073;24.752337,20.597625,-40.237555,3.159808;80.938045,36.555036,8.534563,13.390539;65.065038,24.511515,-6.296376,7.136789;42.724849,23.198223,9.883260,-2.810062;-47.224673,94.823063,-231.447504,50.722127;90.430805,22.276451,19.395448,-58.371489;51.695373,21.727263,-0.273923,-3.609317;268.383385,-34.674830,275.712465,-142.363217;70.325158,32.275215,-12.516539,-6.267648;34.815733,54.703950,8.112415,-1.848309;16.519811,19.934587,6.460586,6.891973
23#78.363300,71.621595,-37.569288,71.270130;29.701187,32.289044,9.745328,-2.758882;49.436891,63.505551,0.609453,-1.194073;92.415612,94.430917,6.260327,38.879479;10.803253,25.622874,11.560626,-1.631628;50.109854,22.403067,15.704443,9.838554;-62.607940,137.162505,-230.030884,119.775496;55.975506,46.773764,0.856308,-5.922464;236.365024,-23.815100,370.379943,-220.640706;45.994191,76.196018,10.296149,-6.068557;83.690778,17.514540,36.935036,25.591659;44.409845,20.695266,12.025565,19.140822;31.071459,95.699079,5.507760,-5.286304;56.431855,43.883190,0.045374,7.394340;20.588128,20.886110,-43.046625,2.609895;81.804195,37.974317,8.788430,14.995085;64.409441,25.249771,-6.815571,7.628340;43.751992,22.879664,10.659616,-3.561117;-71.310871,100.088859,-250.276454,54.593785;92.603926,16.016828,24.066983,-66.820981;51.633793,21.346905,-0.957676,-3.997840;297.043156,-49.427457,297.482958,-152.689330;69.035789,31.569311,-13.270860,-7.850415;35.661186,54.509483,8.796663,-2.041042;17.195650,20.650036,7.056202,7.417009
